T_1,OD_1,DEV_1,T_2,OD_2,DEV_2,T_3,OD_3,DEV_3
0.0,-2.6592598940756456,0.0,0.0,-2.701018375043046,0.0,0.0,-2.627398585604522,0.0
0.2631578947368421,-2.5052677715932457,0.0,0.2631578947368421,-2.5473554116425707,0.0,0.2631578947368421,-2.4937999981828867,0.0
0.5263157894736842,-2.352255539498309,0.0,0.5263157894736842,-2.394192511726298,0.0,0.5263157894736842,-2.3630061390006962,0.0
0.7894736842105263,-2.195667436946138,0.0,0.7894736842105263,-2.2398539558769137,0.0,0.7894736842105263,-2.2326515905696858,0.0
1.0526315789473684,-2.041320256852274,0.0,1.0526315789473684,-2.085985496802408,0.0,1.0526315789473684,-2.1006069972578256,0.0
1.3157894736842104,-1.8902877109092215,0.0,1.3157894736842104,-1.9292596815623544,0.0,1.3157894736842104,-1.9687447433906167,0.0
1.5789473684210529,-1.7340348432603119,0.0,1.5789473684210529,-1.780354347494695,0.0,1.5789473684210529,-1.8372420632431348,0.0
1.8421052631578947,-1.5730434708417709,0.0,1.8421052631578947,-1.6220858747767182,0.0,1.8421052631578947,-1.7060932999140566,0.0
2.1052631578947367,-1.4208773823577083,0.0,2.1052631578947367,-1.4690833154273175,0.0,2.1052631578947367,-1.5731069888132914,0.0
2.3684210526315788,-1.2658912435409164,0.0,2.3684210526315788,-1.3207698615402637,0.0,2.3684210526315788,-1.44199725338914,0.0
2.631578947368421,-1.1061670398622636,0.0,2.631578947368421,-1.1623985537028045,0.0,2.631578947368421,-1.3089033645674124,0.0
2.894736842105263,-0.9520857146008057,0.0,2.894736842105263,-1.0079829936883402,0.0,2.894736842105263,-1.1813701114296822,0.0
3.1578947368421053,-0.7969254805651791,0.0,3.1578947368421053,-0.8582306842692319,0.0,3.1578947368421053,-1.0452268190633118,0.0
3.421052631578948,-0.6359292304351364,0.0,3.421052631578948,-0.701001167976104,0.0,3.421052631578948,-0.9196062442095191,0.0
3.684210526315789,-0.4878538507563711,0.0,3.684210526315789,-0.5561595463240424,0.0,3.684210526315789,-0.7820402312584396,0.0
3.947368421052632,-0.3229770902443489,0.0,3.947368421052632,-0.396626151778541,0.0,3.947368421052632,-0.6524538790941279,0.0
4.2105263157894735,-0.17881192130225249,0.0,4.2105263157894735,-0.24701076896733878,0.0,4.2105263157894735,-0.5174344484791469,0.0
4.473684210526316,-0.007819960026446807,0.0,4.473684210526316,-0.09476675685978096,0.0,4.473684210526316,-0.38803067857907586,0.0
4.7368421052631575,0.13985348006189238,0.0,4.7368421052631575,0.050856203145287944,0.0,4.7368421052631575,-0.2536715018019009,0.0
5.0,0.2684992606802745,0.0,5.0,0.1927683720374127,0.0,5.0,-0.12331878879511812,0.0
