T,GLC,ACE_env,X,ACCOA,ACP,ACE_cell
0.00E+00,1.29E+01,9.20E-01,7.00E-02,2.73E-01,6.30E-02,1.03E+00
9.58E-09,1.29E+01,9.20E-01,7.00E-02,2.73E-01,6.30E-02,1.04E+00
1.92E-08,1.29E+01,9.20E-01,7.00E-02,2.73E-01,6.29E-02,1.04E+00
3.83E-08,1.29E+01,9.20E-01,7.00E-02,2.73E-01,6.29E-02,1.04E+00
5.75E-08,1.29E+01,9.20E-01,7.00E-02,2.73E-01,6.29E-02,1.04E+00
7.67E-08,1.29E+01,9.20E-01,7.00E-02,2.73E-01,6.29E-02,1.04E+00
1.10E-07,1.29E+01,9.20E-01,7.00E-02,2.73E-01,6.28E-02,1.04E+00
1.44E-07,1.29E+01,9.20E-01,7.00E-02,2.73E-01,6.28E-02,1.04E+00
1.78E-07,1.29E+01,9.20E-01,7.00E-02,2.73E-01,6.28E-02,1.04E+00
2.11E-07,1.29E+01,9.20E-01,7.00E-02,2.73E-01,6.28E-02,1.04E+00
2.45E-07,1.29E+01,9.20E-01,7.00E-02,2.73E-01,6.28E-02,1.04E+00
2.79E-07,1.29E+01,9.20E-01,7.00E-02,2.73E-01,6.28E-02,1.04E+00
3.12E-07,1.29E+01,9.20E-01,7.00E-02,2.73E-01,6.28E-02,1.04E+00
3.46E-07,1.29E+01,9.20E-01,7.00E-02,2.73E-01,6.28E-02,1.04E+00
3.80E-07,1.29E+01,9.20E-01,7.00E-02,2.73E-01,6.28E-02,1.04E+00
4.13E-07,1.29E+01,9.20E-01,7.00E-02,2.73E-01,6.28E-02,1.04E+00
4.47E-07,1.29E+01,9.20E-01,7.00E-02,2.73E-01,6.28E-02,1.04E+00
4.80E-07,1.29E+01,9.20E-01,7.00E-02,2.73E-01,6.28E-02,1.04E+00
5.14E-07,1.29E+01,9.20E-01,7.00E-02,2.73E-01,6.28E-02,1.04E+00
5.48E-07,1.29E+01,9.20E-01,7.00E-02,2.73E-01,6.28E-02,1.04E+00
5.81E-07,1.29E+01,9.20E-01,7.00E-02,2.73E-01,6.28E-02,1.04E+00
6.15E-07,1.29E+01,9.20E-01,7.00E-02,2.73E-01,6.28E-02,1.04E+00
9.52E-07,1.29E+01,9.20E-01,7.00E-02,2.73E-01,6.28E-02,1.04E+00
1.29E-06,1.29E+01,9.20E-01,7.00E-02,2.73E-01,6.28E-02,1.04E+00
1.62E-06,1.29E+01,9.20E-01,7.00E-02,2.73E-01,6.28E-02,1.04E+00
4.99E-06,1.29E+01,9.20E-01,7.00E-02,2.73E-01,6.28E-02,1.04E+00
8.35E-06,1.29E+01,9.20E-01,7.00E-02,2.73E-01,6.28E-02,1.04E+00
3.85E-05,1.29E+01,9.20E-01,7.00E-02,2.73E-01,6.28E-02,1.04E+00
6.86E-05,1.29E+01,9.20E-01,7.00E-02,2.73E-01,6.29E-02,1.04E+00
9.87E-05,1.29E+01,9.20E-01,7.00E-02,2.74E-01,6.29E-02,1.05E+00
1.58E-04,1.29E+01,9.20E-01,7.00E-02,2.74E-01,6.29E-02,1.05E+00
2.17E-04,1.29E+01,9.20E-01,7.00E-02,2.74E-01,6.29E-02,1.05E+00
2.76E-04,1.29E+01,9.20E-01,7.00E-02,2.74E-01,6.30E-02,1.05E+00
3.36E-04,1.29E+01,9.20E-01,7.00E-02,2.74E-01,6.30E-02,1.05E+00
4.56E-04,1.29E+01,9.20E-01,7.00E-02,2.74E-01,6.30E-02,1.05E+00
5.76E-04,1.29E+01,9.20E-01,7.00E-02,2.74E-01,6.30E-02,1.05E+00
6.96E-04,1.29E+01,9.20E-01,7.00E-02,2.74E-01,6.30E-02,1.05E+00
1.19E-03,1.29E+01,9.20E-01,7.00E-02,2.74E-01,6.30E-02,1.05E+00
1.68E-03,1.29E+01,9.20E-01,7.01E-02,2.74E-01,6.30E-02,1.05E+00
6.59E-03,1.29E+01,9.21E-01,7.03E-02,2.74E-01,6.30E-02,1.05E+00
1.15E-02,1.29E+01,9.23E-01,7.05E-02,2.74E-01,6.30E-02,1.05E+00
6.06E-02,1.29E+01,9.34E-01,7.25E-02,2.75E-01,6.32E-02,1.06E+00
1.10E-01,1.28E+01,9.45E-01,7.47E-02,2.76E-01,6.35E-02,1.07E+00
2.84E-01,1.27E+01,9.88E-01,8.26E-02,2.80E-01,6.44E-02,1.12E+00
4.59E-01,1.25E+01,1.03E+00,9.15E-02,2.84E-01,6.54E-02,1.16E+00
