T_1,OD_1,DEV_1,T_2,OD_2,DEV_2,T_3,OD_3,DEV_3
9.52e-07,-2.6592598940756456,0.0,1.508548406176996e-06,-2.7010174967650964,0.0,2.996637613236124e-06,-2.627397096742542,0.0
1.29e-06,-2.6592598940756456,0.0,2.009018388093335e-06,-2.701017205392072,0.0,3.86056806832794e-06,-2.6273966675036453,0.0
1.62e-06,-2.6592598940756456,0.0,2.5094883700096738e-06,-2.7010169140188256,0.0,4.724498523419755e-06,-2.6273962382647342,0.0
4.99e-06,-2.6592598940756456,0.0,7.514188189173061e-06,-2.7010140002604888,0.0,1.3363803074337906e-05,-2.6273919458650306,0.0
8.35e-06,-2.6592598940756456,0.0,1.2518888008336448e-05,-2.7010110864830494,0.0,2.2003107625256058e-05,-2.627387653464051,0.0
3.85e-05,-2.6592598940756456,0.0,6.256588619997032e-05,-2.7009819472715626,0.0,0.0001083961531344,-2.627344728527265,0.0
6.86e-05,-2.6592598940756456,0.0,0.0001126128843916,-2.7009528075130294,0.0,0.0001947891986436,-2.6273018035149778,0.0
9.87e-05,-2.6592598940756456,0.0,0.0004476757597633,-2.700757700503767,0.0,0.0010587196537354,-2.626872468344117,0.0
0.000158,-2.6592598940756456,0.0,0.0007827386351351,-2.7005625944806693,0.0,0.0019226501088272,-2.6264431324536512,0.0
0.000217,-2.6592598940756456,0.0,0.0022328717205539,-2.6997179163894844,0.0,0.0105619546597454,-2.6221414331125965,0.0
0.000276,-2.6592598940756456,0.0,0.0036830048059727,-2.698873239197829,0.0,0.0192012592106635,-2.6178397124837516,0.0
0.000336,-2.6592598940756456,0.0,0.0181843356601605,-2.6903942369961276,0.0,0.0945169596045573,-2.579698862599363,0.0
0.000456,-2.6592598940756456,0.0,0.0326856665143483,-2.681915283848179,0.0,0.169832659998451,-2.5415562194376156,0.0
0.000576,-2.6592598940756456,0.0,0.1199175943713018,-2.6311052664346724,0.0,0.3751151298039232,-2.4393647651606822,0.0
0.000696,-2.6592598940756456,0.0,0.2071495222282553,-2.5802832346010987,0.0,0.5803975996093954,-2.337050501973042,0.0
0.00119,-2.6592598940756456,0.0,0.2943814500852088,-2.5294588390945583,0.0,0.7856800694148676,-2.2346885777021193,0.0
0.00168,-2.6578323422882506,0.0,0.5220098099972006,-2.3968694633608187,0.0,1.0909288324979651,-2.0827653816620497,0.0
0.00659,-2.654983337918017,0.0,0.7496381699091924,-2.264349223063201,0.0,1.3961775955810627,-1.9309437143498172,0.0
0.0115,-2.6521424273199528,0.0,0.9772665298211842,-2.1318313552694494,0.0,1.7014263586641605,-1.7790298200106387,0.0
0.0606,-2.624168579190483,0.0,1.204894889733176,-1.999318697678742,0.0,2.006675121747258,-1.627018056496387,0.0
0.11,-2.5942750529745657,0.0,1.5962692200516195,-1.7712889899982593,0.0,2.473894822078166,-1.393921882278133,0.0
0.284,-2.4937454773898367,0.0,1.9876435503700631,-1.5432224214463441,0.0,2.941114522409074,-1.1604879975902236,0.0
0.459,-2.39141619741105,0.0,2.3790178806885067,-1.315234708260865,0.0,3.408334222739982,-0.9267593451476339,0.0
0.634,-2.2926346631309813,0.0,2.7703922110069503,-1.0873858687350653,0.0,3.87555392307089,-0.6927025464335196,0.0
0.891,-2.1370705697707133,0.0,3.222364854196825,-0.8247258691880617,0.0,4.390245046779044,-0.43469850768163354,0.0
1.15,-1.987774280161314,0.0,3.6743374973867,-0.5626698497183108,0.0,4.904936170487198,-0.1764261041781445,0.0
1.41,-1.8388510138688257,0.0,4.126310140576575,-0.30107180456916927,0.0,5.419627294195352,0.0823190678630075,0.0
1.66,-1.6873993998497596,0.0,4.57828278376645,-0.04015369720923607,0.0,5.472206675486519,0.10871583911626312,0.0
2.05,-1.4567167824979825,0.0,4.62862622701316,-0.01119608709289456,0.0,5.524786056777686,0.1350490700661522,0.0
2.44,-1.2275826358353776,0.0,4.67896967025987,0.01770160725231079,0.0,5.566820337109121,0.15601056619080592,0.0
2.83,-0.9942522463168403,0.0,4.7293131135065805,0.04651787393863942,0.0,5.5905096044522535,0.1677552283940796,0.0
3.22,-0.7635696233972639,0.0,4.779656556753291,0.07517504456383581,0.0,5.606016695590332,0.17538968422227375,0.0
3.67,-0.4975803805686017,0.0,4.787512845950587,0.07962574220133292,0.0,5.6166387105507,0.18057550974765235,0.0
